"","name","points","pos","rd1","rd2","rd3","rd4","rd5","rd6","rd7","rd8","rd9","rd10","rd11","rd12","rd13","rd14"
"266","IAN THOMAS",45.8425,4,7.36581195147449e-05,0.000233250711796692,0.000368290597573725,0.000527883189855672,0.000662923075632704,0.000822515667914651,0.000957555553691684,0.00111714814597363,0.00125218803175066,0.00145398238936231,0.0022048569834777,0.00604797247003774,0.0158298674200733,"0.041966789418597"
"267","MALCOLM BROWN",45.32375,3,3.17021797342218e-05,0.000100390235825036,0.000158510898671109,0.000227198954761923,0.000285319617607996,0.000354196740352293,0.000583288627302058,0.00238064241814609,0.00804410497489458,0.0241537509149016,0.045242046106023,0.0719712551833546,0.0931584580502868,"0.121861576252278"
"268","BLAKE JARWIN",45.07825,4,8.58864986393911e-05,0.000271973912358072,0.000429432493196955,0.000615519906915636,0.00077297848775452,0.0009590659014732,0.00111652448231208,0.00136232950628074,0.00180770772766421,0.00286951818371991,0.00459643489794509,0.00826901518457857,0.0135016534408556,"0.0234047132711998"
"269","KENDRICK BOURNE",44.54025,5,7.64899792063144e-05,0.000242218267486662,0.000382449896031572,0.00054817818431192,0.00068840981285683,0.000854138101137178,0.000994369729682087,0.00116009801796244,0.00130032964650735,0.00146605793478769,0.0016062895633326,0.00180555821390327,0.00264877429280306,"0.0068857001288317"
"270","C.J. UZOMAH",43.621,4,7.78923435192256e-05,0.000246659087810881,0.000389461717596128,0.000558228461887784,0.000701031091673031,0.000869797835964686,0.00101260046574993,0.00118136721004159,0.00132416983982684,0.00149293658411849,0.00163573921390374,0.00180489848954689,0.0021196160962405,"0.00335009296015319"
"271","DOUG MARTIN",43.401,3,2.85341938668925e-05,9.03582805784929e-05,0.000142670969334463,0.000231949319361195,0.000582655450728256,0.00206113406169654,0.00490001589068341,0.01007093138596,0.0145703288380872,0.019123780325784,0.0242060918612346,0.037034445684413,0.0577479810238954,"0.0950772320574202"
"272","DANIEL JONES",43.1878,2,0.000114839041910343,0.000363656966049418,0.000574195209551713,0.000823013133690788,0.00103355137719308,0.00128236930133216,0.00154625116866166,0.00267808806690906,0.0055419772295065,0.0134709373573503,0.025682283962368,0.0461818437893399,0.0659426961677519,"0.0886269267891347"
"273","ALEXANDER MATTISON",43.15175,3,2.14602156495493e-05,6.79573495569062e-05,0.000145463621008878,0.000492011337880843,0.00138112783310922,0.0040503263314457,0.00907022253282667,0.0206522234086433,0.0377706162274841,0.0701437694178039,0.109770244931913,0.171253231741124,0.234037134920605,"0.316242006000989"
"274","TIM PATRICK",43.149,5,8.48917582107669e-05,0.000268823901000762,0.000424458791053835,0.00060839093384383,0.000764025823896902,0.000947957966686897,0.00110359285673997,0.00130772224148552,0.00171943238676012,0.00297214074509494,0.00532748831278432,0.0107632581618826,0.0188121247251547,"0.0337315224895224"
"275","CORDARRELLE PATTERSON",43.098,5,0.00012082942324971,0.000382626506957414,0.000604147116248548,0.000865944199956252,0.00108746480924739,0.00134926189295509,0.00157078250224622,0.00183257958595393,0.00205410019524506,0.00231589727895277,0.0025374178882439,0.00279921497195161,0.00302073558124274,"0.00328253266495044"
"276","HAYDEN HURST",43.066,4,2.92062673420476e-05,9.24865132498174e-05,0.000146031336710238,0.000209311582618008,0.000262856406078428,0.000326136651986198,0.000379681475446619,0.000442961721354389,0.000546449664698473,0.00127432804618807,0.0033576641960191,0.00807940527351498,0.0129096350814246,"0.0181803865476884"
"277","CHASE EDMONDS",42.99725,3,2.39213872249671e-05,7.57510595457292e-05,0.000119606936124836,0.000257371003087164,0.00101155167993377,0.00390755855660642,0.00767419363527866,0.0109402195969138,0.0123956630152385,0.0170450583534511,0.0306887625951044,0.066307408815011,0.110179246983839,"0.165111414682006"
"278","DAMIEN HARRIS",42.837,3,4.97751882604104e-05,0.000157621429491299,0.000248875941302052,0.000733546026629221,0.00383945303628653,0.0160123363029462,0.0335699624177509,0.0677048747613768,0.122809628955602,0.222170657080931,0.32480927841836,0.457898056142757,0.57205211865458,"0.692023135916559"
"279","GEOFF SWAIM",42.739,4,8.32416163788315e-05,0.0002635984518663,0.000416208081894157,0.000596564917381626,0.000749174547409483,0.000929531382896952,0.00108214101292481,0.00126249784841228,0.00146443128251576,0.00209325420399704,0.0033547588685759,0.00654548231735019,0.011586814290026,"0.0216123946796128"
"280","WENDELL SMALLWOOD",42.47,3,4.73560687407969e-05,0.000149960884345857,0.000236780343703984,0.000339385159309044,0.000426204618667172,0.000570784221257913,0.00107562007579198,0.00304905850521781,0.00692111831293536,0.0145172946983322,0.0221929912803767,0.0297311108568048,0.0335941331506902,"0.0355359703515949"
"281","CHESTER ROGERS",42.43675,5,0.000274702039938904,0.000869889793139863,0.00137351019969452,0.00196869795289548,0.00247231835945014,0.0030675061126511,0.00357112651920575,0.00416631427240671,0.00466993467896137,0.00526512243216233,0.00576874283871699,0.00636393059191795,0.0068675509984726,"0.00746273875167356"
"282","KENNETH DIXON",42.035,3,3.80562238944269e-05,0.000120511375665685,0.000194869904674678,0.000507530883171149,0.00148893531068739,0.00492137055089631,0.0116795544278841,0.0266744634299677,0.0462165107234752,0.0764272131752265,0.106445452270523,0.146536683531998,0.185830459416138,"0.241703666377833"
"283","TYLER HIGBEE",41.74025,4,0.000111353719902413,0.000352620113024308,0.000556768599512066,0.000798034992633961,0.00100218347912172,0.00124344987224361,0.00144759835873137,0.00168886475185327,0.00189301323834102,0.00213427963146292,0.002419743773568,0.00335615221472657,0.00528538128178798,"0.010259240704212"
"284","T.J. YELDON",41.67875,3,3.24183166770148e-05,0.000102658002810547,0.000162091583385074,0.000232331269518606,0.000291764850093133,0.000377661120106509,0.000864747621340589,0.00375519692602946,0.00991541801374594,0.0201097686567181,0.0277627776931946,0.0374382282347531,0.0555402039634167,"0.0967337544484882"
"285","CHARLES CLAY",41.44725,4,9.84657659809411e-05,0.000311808258939647,0.000492328829904705,0.000705671322863411,0.00088619189382847,0.00109953438678718,0.00128005495775223,0.00149339745071094,0.001673918021676,0.0018872605146347,0.00206778108559976,0.00228112357855847,0.00246164414952353,"0.00267498664248223"
"286","MILES BOYKIN",40.099,5,0.000101248802391982,0.00032062120757461,0.00050624401195991,0.000725616417142538,0.000911239221527838,0.00113061162671047,0.00131623443109577,0.00157206101417902,0.00217164945048228,0.00420699607566652,0.00849123236759678,0.0191414979833695,0.0359977099707325,"0.0684987540356965"
"287","JACE STERNBERGER",40.0375,4,5.47385983757005e-05,0.000173338894856385,0.000273692991878502,0.000392293288359187,0.000492647385381304,0.000611247681861989,0.000711601778884106,0.000830202075364791,0.000955332019690297,0.00132067887021626,0.00202577327441379,0.00377069336394814,0.00657021251386439,"0.0124889209603321"
"288","ELIJAH MCGUIRE",39.49825,3,2.3639479153572e-05,7.48583506529779e-05,0.00011923179701616,0.000307017565577841,0.0009363370568764,0.00332455112890664,0.008256601158469,0.0199478122883576,0.0362069023003413,0.0628867084711644,0.090780486587344,0.128890136208028,0.168005537452754,"0.228053996137921"
"289","RICKY SEALS-JONES",38.41225,4,2.82011959346102e-05,8.93037871262657e-05,0.000141005979673051,0.000202108570864706,0.000253810763411492,0.000314913354603147,0.000378292950513223,0.000805768947560818,0.00221027671151494,0.00621890195204717,0.0112053576400965,0.0183235568697649,0.0271457199766768,"0.0444769341669447"
"290","WAYNE GALLMAN",37.64025,3,5.27655002306792e-05,0.000167090750730484,0.000263827501153396,0.000378152751653201,0.000474889502076113,0.000589214752575918,0.000808389331099776,0.00214683120204456,0.00568431489161266,0.0138488612619297,0.0222377099179731,0.0297545500436564,0.0327302264703292,"0.0338306999633289"
"291","JORDAN THOMAS",37.443,4,7.88510107418468e-05,0.000249694867349182,0.000394255053709234,0.000565098910316569,0.000709659096676621,0.000880502953283956,0.00102506313964401,0.00119590699625134,0.0013404671826114,0.001688830477317,0.00254872311470423,0.00523326937218333,0.0102981857427241,"0.0222806657597184"
"292","RYAN SWITZER",37.314,5,0.000389612560033806,0.00123377310677372,0.00194806280016903,0.00279222334690894,0.00350651304030426,0.00435067358704417,0.00506496328043948,0.00590912382717939,0.00662341352057471,0.00746757406731462,0.00818186376070993,0.00902602430744984,0.0097545582852019,"0.0115545844527101"
"293","KEELAN COLE",36.6775,5,4.13582663345337e-05,0.00013096784339269,0.000206791331672669,0.000393349876890097,0.00157806214896274,0.00729469140880338,0.0171032107230742,0.0296705430970637,0.0360486764967516,0.038419540037826,0.0387034837393267,0.0391348483730944,0.0414417181698786,"0.0521666458547672"
"294","JARIUS WRIGHT",36.507,5,0.00028205081033122,0.000893160899382198,0.0014102540516561,0.00202136414070708,0.00253845729298098,0.00315207080648644,0.00396402880865127,0.00585621227061146,0.00882003755860039,0.0149440027999932,0.0234186501999632,0.0388034728347194,0.0576346226909723,"0.0877247851947312"
"295","BILAL POWELL",36.293,3,5.21563011869258e-05,0.000165161620425265,0.000260781505934629,0.000373786825172969,0.000469406710682333,0.000582412029920672,0.000678031915430036,0.000791037234668375,0.000886657120177739,0.000999662439416079,0.00115068935740381,0.00181258869983943,0.0034177895792973,"0.00786402209943632"
"296","JUSTICE HILL",36.1345,3,1.56368887363874e-05,0.00010954246407842,0.000409493194514469,0.00147809550059816,0.00367529627109099,0.00920053534273023,0.018111421116722,0.0367141669787437,0.0619573059283924,0.105498044930311,0.155030337062783,0.227931806403033,0.298779112593367,"0.385769582231885"
"297","TRENT TAYLOR",35.035,5,0.000242042337244875,0.000766467401275436,0.00121021168622437,0.00173463675025493,0.00217838103520387,0.00270280609923443,0.00314655038418337,0.00367097544821393,0.00411471973316287,0.00463914479719343,0.00514391800029752,0.00687480045250132,0.010800143269505,"0.0216565821725098"
